Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6, 61K,1h 58m,Animation
Flow,7.9, 72K,1h 25m,Animation
Moana 2,6.6, 100K,1h 40m,Animation
The Wild Robot,8.2, 160K,1h 42m,Animation
Despicable Me 4,6.2, 65K,1h 34m,Animation
Transformers One,7.6, 50K,1h 44m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 3.8K,1h 31m,Animation
Inside Out 2,7.5, 215K,1h 36m,Animation
Solo Leveling: ReAwakening,8.8, 11K,2h 1m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3, 30K,2h 14m,Animation
IF,6.4, 58K,1h 44m,Animation
Kung Fu Panda 4,6.3, 68K,1h 34m,Animation
Memoir of a Snail,7.8, 17K,1h 35m,Animation
Night of the Zoopocalypse,6.0, 573,1h 31m,Animation
The Garfield Movie,5.7, 24K,1h 41m,Animation
Attack on Titan the Movie: The Last Attack,9.2, 15K,2h 25m,Animation
Harold and the Purple Crayon,5.7, 8.2K,1h 30m,Animation
Spellbound,5.6, 7.3K,1h 49m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,Animation
Spermageddon,5.8, 786,1h 20m,Animation
Watchmen: Chapter I,7.0, 6.5K,1h 23m,Animation
Thelma the Unicorn,5.7, 2.9K,1h 33m,Animation
Watchmen: Chapter II,7.0, 3K,1h 30m,Animation
Look Back,7.8, 15K,58m,Animation
Piece by Piece,6.9, 5.3K,1h 33m,Animation
Hitpig,5.1, 919,1h 26m,Animation
Megamind vs. The Doom Syndicate,2.5, 5.5K,1h 23m,Animation
The Most Precious of Cargoes,7.1, 904,1h 21m,Animation
Orion and the Dark,6.3, 17K,1h 33m,Animation
The Remarkable Life of Ibelin,8.2, 12K,1h 43m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.4K,1h 33m,Animation
My Hero Academia: You're Next,7.0, 2K,1h 50m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Animation
Grand Theft Hamlet,6.9, 1.9K,1h 29m,Animation
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Animation
Ultraman: Rising,6.9, 6.3K,1h 57m,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Animation
Buffalo Kids,6.6, 674,1h 33m,Animation
The Colors Within,7.1, 944,1h 41m,Animation
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Animation
That Christmas,6.8, 17K,1h 31m,Animation
Limonov: The Ballad of Eddie,6.0, 780,2h 18m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Animation
Overlord: The Sacred Kingdom,6.9, 932,2h 15m,Animation
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Animation
Dongeng Sang Kancil,6.7, 166,1h 39m,Animation
Mars,8.9, 21,1h 24m,Animation
Mononoke the Movie: The Phantom in the Rain,6.8, 1.2K,1h 29m,Animation
A Sloth Story,5.6, 204,1h 30m,Animation
Dragonkeeper,5.7, 1.7K,1h 38m,Animation
Haikyu!! The Dumpster Battle,7.7, 6.2K,1h 25m,Animation
Crayon Shin-chan: Ora's Dinosaur Diary,6.4, 344,1h 46m,Animation
Given 3: To the Sea,8.9, 44,1h 20m,Animation
Lesbian Space Princess,7.3, 125,1h 27m,Animation
The Glassworker,7.3, 1.7K,1h 38m,Animation
Rebellious,6.0, 192,1h 34m,Animation
Frida,7.5, 1.5K,1h 27m,Animation
The Night Before Christmas in Wonderland,6.3, 514,1h 20m,Animation
Sanatorium Under the Sign of the Hourglass,5.4, 112,1h 15m,Animation
My Freaky Family,6.3, 403,1h 26m,Animation
Johnny Puff: Secret Mission,4.8, 447,1h 27m,Animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8, 1.1K,1h 30m,Animation
10 Lives,5.9, 1.9K,1h 28m,Animation
Blue Lock: Episode Nagi,6.6, 2.5K,1h 31m,Animation
200% Wolf,5.9, 1.3K,1h 38m,Animation
From Ground Zero,8.0, 529,1h 52m,Animation
Storm Crashers,6.2, 560,1h 28m,Animation
Ryan's World the Movie: Titan Universe Adventure,1.8, 689,1h 20m,Animation
The Lost Tiger,7.8, 44,1h 30m,Animation
Gracie and Pedro: Pets to the Rescue,5.1, 269,1h 27m,Animation
Noah's Ark,4.3, 652,1h 36m,Animation
Big City Greens the Movie: Spacecation,6.2, 539,1h 23m,Animation
Panda Bear in Africa,5.5, 335,1h 24m,Animation
Savages,6.8, 326,1h 27m,Animation
(S)KiDS,9.8, 93,1h 25m,Animation
STEVE (A Minecraft Movie),6.7, 11,1h 1m,Animation
My Oni Girl,6.0, 1.7K,1h 52m,Animation
I Am What I Am 2,7.5, 201,2h 14m,Animation
"Die Heinzels: Neue Mützen, Neue Mission",6.4, 86,1h 16m,Animation
White Snake: Afloat,6.9, 467,2h 13m,Animation
Exorcism Chronicles: The Beginning,7.2, 97,1h 25m,Animation
Diplodocus,6.3, 174,1h 30m,Animation
Detective Conan: The Million-Dollar Pentagram,6.7, 1.4K,1h 51m,Animation
Bloody Escape: Bats out of Hell,5.7, 38,1h 40m,Animation
Super-Charlie,5.8, 114,1h 20m,Animation
Elli and the Ghostly Ghost Train,5.0, 96,1h 26m,Animation
Shrek 5: The Contract - A Fan Made Film,7.0, 19,1h 24m,Animation
Dalia y el Libro Rojo,6.5, 86,1h 47m,Animation
Hola Frida,7.1, 28,1h 22m,Animation
No Time to Spy: A Loud House Movie,6.4, 447,1h 21m,Animation
The Big Trip 3: Race Around the World,5.7, 55,1h 25m,Animation
