Title,Rating,Votes,Duration,Genre
1. Kraven the Hunter,5.5, (53K),2h 7m,Action
2. Gladiator II,6.5, (226K),2h 28m,Action
3. Twisters,6.5, (166K),2h 2m,Action
4. Sonic the Hedgehog 3,6.9, (57K),1h 50m,Action
5. Venom: The Last Dance,6.0, (115K),1h 50m,Action
6. Deadpool & Wolverine,7.6, (488K),2h 8m,Action
7. Pushpa: The Rule - Part 2,6.1, (56K),3h 21m,Action
8. Dune: Part Two,8.5, (621K),2h 46m,Action
9. The Ministry of Ungentlemanly Warfare,6.8, (134K),2h 2m,Action
10. Freaky Tales,7.2, (996),1h 47m,Action
11. The Beekeeper,6.3, (155K),1h 45m,Action
12. Carry-On,6.5, (163K),1h 59m,Action
13. Furiosa: A Mad Max Saga,7.5, (284K),2h 28m,Action
14. Civil War,7.0, (235K),1h 49m,Action
15. Fight or Flight,6.4, (6.2K),1h 37m,Action
16. Solo Leveling: ReAwakening,8.8, (11K),2h 1m,Action
17. Borderlands,4.7, (47K),1h 41m,Action
18. Elevation,5.6, (21K),1h 31m,Action
19. The Fall Guy,6.8, (219K),2h 6m,Action
20. The Count of Monte-Cristo,7.6, (34K),2h 58m,Action
21. Transformers One,7.6, (49K),1h 44m,Action
22. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Action
23. The Lord of the Rings: The War of the Rohirrim,6.3, (30K),2h 14m,Action
24. The Crow,4.7, (34K),1h 51m,Action
25. William Tell,5.7, (2.3K),2h 13m,Action
26. Madame Web,4.0, (100K),1h 56m,Action
27. Rebel Ridge,6.8, (87K),2h 11m,Action
28. Road House,6.2, (167K),2h 1m,Action
29. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Action
30. Kingdom of the Planet of the Apes,6.9, (151K),2h 25m,Action
31. Godzilla x Kong: The New Empire,6.1, (121K),1h 55m,Action
32. Argylle,5.6, (92K),2h 19m,Action
33. Marco,6.8, (21K),2h 25m,Action
34. Damsel,6.1, (109K),1h 50m,Action
35. Red One,6.3, (139K),2h 3m,Action
36. Homestead,5.3, (3.5K),1h 52m,Action
37. Love Lies Bleeding,6.6, (57K),1h 44m,Action
38. The Killer's Game,5.8, (17K),1h 44m,Action
39. Land of Bad,6.6, (51K),1h 53m,Action
40. Monkey Man,6.8, (91K),2h 1m,Action
41. Uglies,4.7, (33K),1h 40m,Action
42. Old Guy,5.2, (2.2K),1h 34m,Action
43. Dirty Angels,4.3, (3.4K),1h 44m,Action
44. Blitz,6.2, (16K),2h,Action
45. The Union,5.4, (53K),1h 47m,Action
46. Kung Fu Panda 4,6.3, (68K),1h 34m,Action
47. Toofan,7.4, (7.7K),2h 25m,Action
48. Thelma,7.0, (22K),1h 38m,Action
49. Arcadian,5.5, (23K),1h 32m,Action
50. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Action
51. Gunner,3.2, (2.6K),1h 46m,Action
52. Lift,5.5, (49K),1h 47m,Action
53. Werewolves,4.4, (6.4K),1h 33m,Action
54. The Killer,5.7, (13K),2h 6m,Action
55. Aftermath,5.1, (3.8K),1h 37m,Action
56. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m,Action
57. Maharaja,8.4, (66K),2h 21m,Action
58. Survive,4.6, (2.4K),1h 30m,Action
59. The Instigators,6.2, (37K),1h 41m,Action
60. Twilight of the Warriors: Walled In,7.0, (9.4K),2h 6m,Action
61. Drive-Away Dolls,5.4, (23K),1h 24m,Action
62. Absolution,5.2, (7.8K),1h 52m,Action
63. Apocalypse Z: The Beginning of the End,6.1, (20K),1h 57m,Action
64. Azrael,5.4, (11K),1h 26m,Action
65. Classified,3.7, (2.5K),1h 45m,Action
66. Atlas,5.6, (56K),1h 58m,Action
67. The Prosecutor,6.7, (1.8K),1h 57m,Action
68. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Action
69. Descendants: The Rise of Red,4.7, (7K),1h 31m,Action
70. Kalki 2898 AD,7.0, (66K),3h,Action
71. Long Gone Heroes,5.2, (1.1K),1h 41m,Action
72. Brothers,5.4, (13K),1h 29m,Action
73. Canary Black,5.3, (11K),1h 41m,Action
74. Under Paris,5.2, (36K),1h 44m,Action
75. Trigger Warning,4.6, (19K),1h 46m,Action
76. Armor,3.6, (3.8K),1h 29m,Action
77. Watchmen: Chapter I,7.0, (6.5K),1h 23m,Action
78. One More Shot,5.4, (3.7K),1h 43m,Action
79. Amaran,8.2, (18K),2h 47m,Action
80. The Shadow Strays,6.5, (9.1K),2h 24m,Action
81. Jackpot!,5.8, (30K),1h 46m,Action
82. Cash Out,4.8, (2.9K),1h 32m,Action
83. Weekend in Taipei,5.7, (4.6K),1h 40m,Action
84. The Silent Hour,6.1, (7.3K),1h 39m,Action
85. Duchess,4.6, (1.3K),1h 54m,Action
86. Watchmen: Chapter II,7.0, (3K),1h 30m,Action
87. Red Right Hand,5.5, (5.8K),1h 51m,Action
88. Chief of Station,4.7, (4.6K),1h 37m,Action
89. Fighter,6.2, (52K),2h 46m,Action
90. Boneyard,4.1, (5K),1h 36m,Action
91. Rogue Elements: A Ryan Drake Story,4.7, (959),44m,Action
92. Hitpig,5.1, (915),1h 26m,Action
93. Aavesham,7.8, (28K),2h 35m,Action
94. Karma,8.0, (1.4K),2h 47m,Action
95. Harbin,6.3, (589),1h 48m,Action
96. Baby Invasion,4.6, (414),1h 20m,Action
97. Uprising,6.6, (5.5K),2h 6m,Action
98. No Way Up,4.6, (10K),1h 30m,Action
99. Baby John,5.2, (17K),2h 39m,Action
100. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Action
101. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,Action
102. The Fix,4.6, (1.2K),1h 38m,Action
103. River of Blood,5.2, (1.7K),1h 26m,Action
104. Black Heat,8.6, (117),1h 33m,Action
105. Viduthalai Part 2,7.9, (16K),2h 50m,Action
106. The Wages of Fear,4.6, (4.1K),1h 44m,Action
107. Damaged,4.7, (7.2K),1h 37m,Action
108. Devil's Knight,5.1, (851),1h 30m,Action
109. Dominique,5.3, (2.2K),1h 40m,Action
110. The Quiet Ones,6.4, (667),1h 50m,Action
111. Take Cover,5.1, (2.4K),1h 30m,Action
112. Overlord: The Sacred Kingdom,6.9, (919),2h 15m,Action
113. Operation Undead,4.6, (396),1h 50m,Action
114. Devara Part 1,6.0, (20K),2h 56m,Action
115. Role Play,5.5, (19K),1h 40m,Action
116. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Action
117. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.5K),1h 34m,Action
118. Trouble,6.2, (6.7K),1h 38m,Action
119. Levels,5.0, (1.5K),1h 33m,Action
120. Prey,3.7, (3.3K),1h 26m,Action
121. Singham Again,4.7, (75K),2h 24m,Action
122. Bangkok Dog,4.9, (163),1h 25m,Action
123. Anaconda,4.8, (628),1h 24m,Action
124. Hagen,6.1, (1.2K),2h 19m,Action
125. The Thundermans Return,5.0, (1.8K),1h 10m,Action
126. Night Call,6.8, (1.9K),1h 37m,Action
127. My Spy: The Eternal City,5.7, (11K),1h 52m,Action
128. Dark Match,5.5, (937),1h 34m,Action
129. The Roundup: Punishment,6.6, (5.2K),1h 49m,Action
130. Hounds of War,4.5, (1.7K),1h 35m,Action
131. Hanu Man,7.7, (29K),2h 38m,Action
132. Rifle Club,7.0, (4.2K),1h 53m,Action
133. Jigra,6.0, (23K),2h 33m,Action
134. Mafia Wars,3.4, (236),1h 34m,Action
"135. I, the Executioner",6.3, (1.7K),1h 58m,Action
136. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Action
137. Badland Hunters,5.9, (12K),1h 47m,Action
138. Sunray: Fallen Soldier,4.3, (626),1h 55m,Action
139. Ultraman: Rising,6.9, (6.3K),1h 57m,Action
140. The Clean Up Crew,4.1, (1.1K),1h 35m,Action
141. Death Whisperer 2,6.4, (1.3K),1h 50m,Action
142. Bougainvillea,6.4, (3.1K),2h 18m,Action
143. Officer Black Belt,6.8, (8.2K),1h 48m,Action
144. Panda Plan,5.1, (1.2K),1h 39m,Action
145. Code 8: Part II,5.7, (16K),1h 40m,Action
146. Pani,6.9, (3K),2h 23m,Action
147. The Courier,6.0, (4.4K),1h 41m,Action
148. Joe Baby,7.3, (30),1h 26m,Action
149. Air Force One Down,4.4, (2.9K),1h 24m,Action
