Title,Rating,Votes,Duration,Genre
Anora,7.5, 179K,2h 19m,comedy
Y2K,4.8, 13K,1h 31m,comedy
Moana 2,6.6, 100K,1h 40m,comedy
A Real Pain,7.1, 87K,1h 30m,comedy
Sonic the Hedgehog 3,6.9, 58K,1h 50m,comedy
Freaky Tales,7.2, 1K,1h 47m,comedy
Deadpool & Wolverine,7.6, 489K,2h 8m,comedy
Paddington in Peru,6.7, 20K,1h 46m,comedy
The Ministry of Ungentlemanly Warfare,6.8, 134K,2h 2m,comedy
Sacramento,5.8, 783,1h 29m,comedy
Despicable Me 4,6.2, 65K,1h 34m,comedy
Fight or Flight,6.4, 6.3K,1h 37m,comedy
Borderlands,4.7, 48K,1h 41m,comedy
The Fall Guy,6.8, 220K,2h 6m,comedy
Emilia Pérez,5.4, 88K,2h 12m,comedy
Saturday Night,6.9, 30K,1h 49m,comedy
Challengers,7.0, 154K,2h 11m,comedy
A Nice Indian Boy,8.0, 447,1h 36m,comedy
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 3.8K,1h 31m,comedy
Beetlejuice Beetlejuice,6.7, 146K,1h 45m,comedy
Inside Out 2,7.5, 215K,1h 36m,comedy
Snack Shack,7.0, 12K,1h 52m,comedy
Riff Raff,5.7, 2.8K,1h 43m,comedy
Kinds of Kindness,6.5, 59K,2h 44m,comedy
Bad Boys: Ride or Die,6.5, 100K,1h 55m,comedy
Friendship,7.4, 271,1h 40m,comedy
A Different Man,6.9, 29K,1h 52m,comedy
Argylle,5.6, 92K,2h 19m,comedy
It's What's Inside,6.6, 42K,1h 43m,comedy
Red One,6.3, 139K,2h 3m,comedy
Distant,5.7, 3.2K,1h 27m,comedy
Fly Me to the Moon,6.6, 50K,2h 12m,comedy
Ghostbusters: Frozen Empire,6.1, 93K,1h 55m,comedy
My Old Ass,6.9, 39K,1h 29m,comedy
The Idea of You,6.3, 73K,1h 55m,comedy
IF,6.4, 58K,1h 44m,comedy
Nightbitch,5.5, 19K,1h 39m,comedy
The Union,5.4, 53K,1h 47m,comedy
Kung Fu Panda 4,6.3, 68K,1h 34m,comedy
Bob Trevino Likes It,8.0, 763,1h 41m,comedy
The Uninvited,5.9, 164,1h 37m,comedy
The Killer's Game,5.8, 17K,1h 44m,comedy
Mean Girls,5.5, 37K,1h 52m,comedy
My Dead Friend Zoe,6.6, 2.1K,1h 43m,comedy
Incoming,5.8, 14K,1h 31m,comedy
A Family Affair,5.4, 36K,1h 51m,comedy
Ricky Stanicky,6.2, 56K,1h 53m,comedy
Kneecap,7.6, 17K,1h 45m,comedy
Miller's Girl,5.2, 23K,1h 33m,comedy
Night of the Zoopocalypse,6.0, 573,1h 31m,comedy
Old Guy,5.2, 2.2K,1h 34m,comedy
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,comedy
Greedy People,6.2, 11K,1h 52m,comedy
Thelma,7.0, 22K,1h 38m,comedy
Lift,5.5, 49K,1h 47m,comedy
The Instigators,6.2, 37K,1h 41m,comedy
Holy Cow,7.2, 1.5K,1h 32m,comedy
The Garfield Movie,5.7, 24K,1h 41m,comedy
F*** Marry Kill,5.3, 2.3K,1h 37m,comedy
Harold and the Purple Crayon,5.7, 8.2K,1h 30m,comedy
Drive-Away Dolls,5.4, 23K,1h 24m,comedy
Spellbound,5.6, 7.3K,1h 49m,comedy
Hard Truths,7.3, 5.2K,1h 37m,comedy
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,7.5, 148,1h 42m,comedy
Upgraded,6.1, 29K,1h 44m,comedy
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,comedy
The Wonderful Story of Henry Sugar and Three More,7.1, 6.6K,1h 28m,comedy
The Marching Band,7.4, 2.8K,1h 43m,comedy
Spermageddon,5.8, 786,1h 20m,comedy
Vulgar,5.5, 134,1h 43m,comedy
How to Make Millions Before Grandma Dies,8.0, 14K,2h 5m,comedy
Get Away,5.3, 6.7K,1h 26m,comedy
The Mouse Trap,2.4, 3.2K,1h 20m,comedy
Your Monster,6.4, 5.7K,1h 43m,comedy
When Fall Is Coming,6.8, 1.6K,1h 44m,comedy
Misericordia,6.9, 2K,1h 44m,comedy
Superboys of Malegaon,7.9, 1.7K,2h 7m,comedy
Rumours,5.0, 4.5K,1h 44m,comedy
Dead Talents Society,7.0, 1.8K,1h 51m,comedy
Chosen Family,4.7, 382,1h 28m,comedy
Sister Midnight,6.6, 377,1h 47m,comedy
Brothers,5.4, 13K,1h 29m,comedy
Unfrosted,5.5, 35K,1h 37m,comedy
Thelma the Unicorn,5.7, 2.9K,1h 33m,comedy
And Mrs,5.8, 747,1h 51m,comedy
Lisa Frankenstein,6.1, 28K,1h 41m,comedy
Mother of the Bride,4.8, 17K,1h 28m,comedy
The Balconettes,6.2, 840,1h 44m,comedy
Dear Santa,5.4, 19K,1h 47m,comedy
Four Mothers,7.3, 179,1h 29m,comedy
Jackpot!,5.8, 30K,1h 46m,comedy
Eephus,7.2, 481,1h 39m,comedy
I Don't Understand You,7.1, 78,1h 36m,comedy
Ghostlight,7.6, 5.8K,1h 55m,comedy
Dìdi,7.3, 12K,1h 33m,comedy
Goodrich,6.3, 5.2K,1h 50m,comedy
Reunion,5.6, 3.5K,1h 30m,comedy
Piece by Piece,6.9, 5.3K,1h 33m,comedy
Stree 2: Sarkate Ka Aatank,6.9, 42K,2h 27m,comedy
Standing on the Shoulders of Kitties,6.2, 549,1h 51m,comedy
Aavesham,7.8, 28K,2h 35m,comedy
Desert Fiends,8.2, 500,1h 46m,comedy
Hitpig,5.1, 919,1h 26m,comedy
Sketch,8.4, 47,1h 32m,comedy
