Title,Rating,Votes,Duration,Genre
2073,5.1, 2.1K,1h 25m,documentary
No Other Land,8.3, 11K,1h 32m,documentary
Not Just a Goof,7.9, 244,1h 27m,documentary
One to One: John & Yoko,7.4, 196,1h 40m,documentary
Cheech and Chong's Last Movie,7.6, 48,2h 3m,documentary
Secret Mall Apartment,7.5, 270,1h 31m,documentary
Mogwai: If the Stars Had a Sound,7.7, 78,1h 32m,documentary
The Menendez Brothers,7.0, 9.2K,1h 59m,documentary
The Remarkable Life of Ibelin,8.2, 12K,1h 43m,documentary
Soundtrack to a Coup d'Etat,7.8, 2.8K,2h 30m,documentary
Will & Harper,7.4, 12K,1h 54m,documentary
The Last Journey,7.9, 5.1K,1h 35m,documentary
Black Box Diaries,7.5, 3.3K,1h 42m,documentary
Grand Theft Hamlet,6.9, 1.9K,1h 29m,documentary
Super/Man: The Christopher Reeve Story,8.0, 9K,1h 44m,documentary
Swamp Dogg Gets His Pool Painted,8.5, 54,1h 35m,documentary
Am I Racist?,6.7, 17K,1h 40m,documentary
Afternoons of Solitude,7.3, 447,2h 5m,documentary
Buy Now! The Shopping Conspiracy,6.7, 6.3K,1h 24m,documentary
The Sky Above Zenica,6.8, 124,1h 30m,documentary
Sugarcane,7.0, 3.3K,1h 47m,documentary
Behind the Lines,8.9, 11,1h 47m,documentary
The Lost Children,7.0, 2.7K,1h 36m,documentary
Every Little Thing,7.1, 246,1h 33m,documentary
Brats,6.5, 6.9K,1h 32m,documentary
Yacht Rock: A Dockumentary,7.6, 1.8K,1h 35m,documentary
Liza: A Truly Terrific Absolutely True Story,7.7, 212,1h 44m,documentary
What Jennifer Did,6.1, 11K,1h 27m,documentary
Checkpoint Zoo,8.3, 57,1h 43m,documentary
Lover Stalker Killer,7.0, 13K,1h 30m,documentary
Riefenstahl,7.2, 485,1h 55m,documentary
Gaucho Gaucho,7.1, 177,1h 25m,documentary
The Thinking Game,7.6, 158,1h 24m,documentary
Janis Ian: Breaking Silence,8.1, 56,1h 54m,documentary
Bambi: A Tale of Life in the Woods,5.7, 166,1h 18m,documentary
Jailbreak: Love on the Run,6.4, 3.2K,1h 28m,documentary
Beatles '64,7.2, 2.5K,1h 46m,documentary
The Program,7.2, 760,1h 42m,documentary
Dahomey,6.8, 2.6K,1h 8m,documentary
Avicii - I'm Tim,7.7, 6.9K,1h 35m,documentary
Sweet Bobby: My Catfish Nightmare,6.2, 5.6K,1h 22m,documentary
Blink,7.2, 660,1h 23m,documentary
Endurance,7.5, 1.6K,1h 43m,documentary
Pavements,7.1, 166,2h 8m,documentary
Martha,7.2, 4K,1h 55m,documentary
The Bloody Hundredth,7.5, 2.6K,1h 2m,documentary
Just a Bit Outside: The Story of the 1982 Milwaukee Brewers,9.2, 106,2h,documentary
Tom Petty: Heartbreakers Beach Party,7.4, 224,1h 24m,documentary
The Greatest Night in Pop,7.9, 15K,1h 36m,documentary
Music by John Williams,8.2, 4.8K,1h 45m,documentary
The Blue Angels,7.3, 2.7K,1h 33m,documentary
We Will Dance Again,7.6, 11K,1h 30m,documentary
Billy & Molly: An Otter Love Story,8.0, 1.9K,1h 17m,documentary
Frida,7.5, 1.5K,1h 27m,documentary
¡Casa Bonita Mi Amor!,7.5, 1.4K,1h 28m,documentary
How to Rob a Bank,6.6, 4.2K,1h 28m,documentary
America's Burning,5.7, 86,1h 23m,documentary
Elton John: Never Too Late,6.5, 1.9K,1h 42m,documentary
Porcelain War,7.1, 1.2K,1h 27m,documentary
Skywalkers: A Love Story,7.1, 3.5K,1h 40m,documentary
Getting Lost,7.1, 663,2h,documentary
A New Kind of Wilderness,7.6, 1.2K,1h 24m,documentary
Jim Henson: Idea Man,7.7, 3.8K,1h 51m,documentary
Bad Faith,7.4, 1.4K,1h 29m,documentary
Like Tears in Rain,8.0, 154,1h 21m,documentary
Ernest Cole: Lost and Found,7.2, 297,1h 45m,documentary
Chhava,8.4, 2.2K,51m,documentary
Apollo 13: Survival,7.3, 2.4K,1h 38m,documentary
From Ground Zero,8.0, 529,1h 52m,documentary
Daughters,7.6, 1.6K,1h 48m,documentary
Harder Better Faster Stronger,7.9, 15,44m,documentary
El Apocalipsis de San Juan,6.7, 194,1h 50m,documentary
"My Wife, My Abuser: The Secret Footage",7.1, 808,55m,documentary
Biggest Heist Ever,6.1, 1.4K,1h 25m,documentary
Marcella,8.9, 18,1h 37m,documentary
The Bibi Files,7.5, 1.1K,1h 55m,documentary
The World According to Allee Willis,7.6, 65,1h 37m,documentary
Christspiracy,8.7, 572,1h 51m,documentary
Witches,7.4, 1.2K,1h 30m,documentary
The Kindness Within: A Journey to Freedom,7.1, 10,1h 30m,documentary
Wicked: The Real Story,6.7, 23,1h 30m,documentary
Dear Kelly,7.3, 462,1h 30m,documentary
The Commandant's Shadow,7.3, 1K,1h 43m,documentary
Inside the Mind of a Dog,7.2, 2.2K,1h 15m,documentary
Aliens Expanded,8.1, 553,4h 42m,documentary
ZEF: The Story of Die Antwoord,7.3, 791,1h 30m,documentary
Hayao Miyazaki and the Heron,7.8, 911,2h,documentary
Chaplin | Spirit of the Tramp,7.6, 35,1h 30m,documentary
The Beach Boys,7.1, 2.1K,1h 53m,documentary
Emma and Eddie: A Working Couple,4.7, 357,1h 33m,documentary
The Propagandist,8.0, 53,1h 48m,documentary
The Roast of Tom Brady,7.2, 5.8K,2h 59m,documentary
Phantoms of the Sierra Madre,6.4, 54,1h 39m,documentary
Road Diary: Bruce Springsteen and the E Street Band,7.7, 990,1h 39m,documentary
Ellis Park,8.2, 44,1h 44m,documentary
I Am: Celine Dion,7.7, 7.8K,1h 43m,documentary
Einstein and the Bomb,6.2, 4K,1h 16m,documentary
Luther: Never Too Much,8.1, 831,1h 41m,documentary
Henry Fonda for President,7.3, 106,3h 4m,documentary
All Illusions Must Be Broken,8.3, 26,1h 29m,documentary
Child Star,6.5, 1.3K,1h 38m,documentary
I Could Never Go Vegan,7.3, 94,1h 37m,documentary
Never Look Away,7.2, 262,1h 25m,documentary
Bitconned,6.5, 4.1K,1h 33m,documentary
Look Into My Eyes,5.5, 541,1h 45m,documentary
Hack Your Health: The Secrets of Your Gut,6.6, 3.2K,1h 19m,documentary
Architecton,6.6, 298,1h 38m,documentary
The Final: Attack on Wembley,6.3, 2.5K,1h 22m,documentary
Giannis: The Marvelous Journey,8.3, 1.7K,1h 49m,documentary
The Ark and the Darkness,5.3, 499,2h 5m,documentary
From Russia with Lev,8.2, 872,1h 32m,documentary
Agent of Happiness,7.2, 1.1K,1h 33m,documentary
Wishing on a Star,6.7, 144,1h 39m,documentary
The Last of the Sea Women,7.0, 629,1h 27m,documentary
Freediver,6.8, 105,1h 28m,documentary
Missing from Fire Trail Road,7.0, 81,1h 41m,documentary
Viktor,8.4, 78,1h 29m,documentary
Intercepted,8.2, 542,1h 35m,documentary
