Title,Rating,Votes,Duration,Genre
Y2K,4.8, 13K,1h 31m,sci-fi
The Substance,7.3, 294K,2h 21m,sci-fi
The Assessment,6.8, 2.2K,1h 54m,sci-fi
Sonic the Hedgehog 3,6.9, 58K,1h 50m,sci-fi
Deadpool & Wolverine,7.6, 489K,2h 8m,sci-fi
The Wild Robot,8.2, 160K,1h 42m,sci-fi
Dune: Part Two,8.5, 622K,2h 46m,sci-fi
Venom: The Last Dance,6.0, 115K,1h 50m,sci-fi
Furiosa: A Mad Max Saga,7.5, 284K,2h 28m,sci-fi
Alien: Romulus,7.1, 243K,1h 59m,sci-fi
Megalopolis,4.7, 35K,2h 18m,sci-fi
Despicable Me 4,6.2, 65K,1h 34m,sci-fi
Borderlands,4.7, 48K,1h 41m,sci-fi
Subservience,5.4, 27K,1h 46m,sci-fi
Transformers One,7.6, 50K,1h 44m,sci-fi
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 3.8K,1h 31m,sci-fi
The Life of Chuck,7.7, 486,1h 50m,sci-fi
Elevation,5.6, 21K,1h 31m,sci-fi
A Quiet Place: Day One,6.3, 149K,1h 39m,sci-fi
Madame Web,4.0, 100K,1h 56m,sci-fi
It's What's Inside,6.6, 42K,1h 43m,sci-fi
Distant,5.7, 3.2K,1h 27m,sci-fi
The Shrouds,6.0, 1.1K,1h 59m,sci-fi
Ghostbusters: Frozen Empire,6.1, 93K,1h 55m,sci-fi
Godzilla x Kong: The New Empire,6.0, 121K,1h 55m,sci-fi
Spaceman,5.7, 43K,1h 47m,sci-fi
Caddo Lake,6.8, 42K,1h 43m,sci-fi
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,sci-fi
Survive,4.6, 2.4K,1h 30m,sci-fi
Werewolves,4.4, 6.5K,1h 33m,sci-fi
Uglies,4.7, 33K,1h 40m,sci-fi
Arcadian,5.5, 23K,1h 32m,sci-fi
Slingshot,5.7, 9.4K,1h 48m,sci-fi
Rich Flu,5.3, 5.7K,1h 56m,sci-fi
Time Cut,5.0, 19K,1h 31m,sci-fi
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,sci-fi
Atlas,5.6, 56K,1h 58m,sci-fi
Sting,5.7, 16K,1h 31m,sci-fi
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,sci-fi
Love Me,5.1, 2.4K,1h 31m,sci-fi
Die Alone,5.7, 2.9K,1h 31m,sci-fi
Kalki 2898 AD,7.0, 66K,3h,sci-fi
Afraid,5.2, 14K,1h 24m,sci-fi
Watchmen: Chapter I,7.0, 6.5K,1h 23m,sci-fi
Rebel Moon - Part Two: The Scargiver,5.3, 59K,2h 2m,sci-fi
The End,5.5, 1.8K,2h 28m,sci-fi
Watchmen: Chapter II,7.0, 3K,1h 30m,sci-fi
Breathe,4.2, 7.2K,1h 33m,sci-fi
The Platform 2,4.9, 40K,1h 39m,sci-fi
The Fix,4.6, 1.2K,1h 38m,sci-fi
Year 10,5.4, 1.9K,1h 36m,sci-fi
Turn Me On,5.6, 520,1h 39m,sci-fi
Megamind vs. The Doom Syndicate,2.5, 5.5K,1h 23m,sci-fi
V/H/S/Beyond,5.8, 9.4K,1h 54m,sci-fi
